RA,E,Q,U,X,A,RI,size,t
102,14,3,0,0,2,0,121,0.275
103,14,4,0,0,0,0,121,0.28
103,14,4,0,0,0,0,121,0.285
103,14,4,0,0,0,0,121,0.29
103,14,4,0,0,0,0,121,0.295
103,14,4,0,0,0,0,121,0.3
103,14,4,0,0,0,0,121,0.305
103,14,4,0,0,0,0,121,0.31
103,14,4,0,0,1,0,122,0.315
103,14,4,0,0,1,0,122,0.32
103,14,4,0,0,1,0,122,0.325
103,14,4,0,0,2,0,123,0.33
103,14,4,0,0,2,0,123,0.335
103,15,5,0,0,1,0,124,0.34
103,15,5,0,0,1,0,124,0.345
104,15,5,0,0,0,0,124,0.35
104,15,5,0,0,1,0,125,0.355
104,15,5,0,0,2,0,126,0.36
104,16,5,0,0,1,0,126,0.365
104,16,6,0,0,1,0,127,0.37
104,16,6,0,0,1,0,127,0.375
104,16,6,0,0,1,0,127,0.38
104,16,6,0,0,1,0,127,0.385
104,16,7,0,0,0,0,127,0.39
104,16,7,0,0,0,0,127,0.395
104,16,7,0,0,0,0,127,0.4
104,16,7,0,0,0,0,127,0.405
104,16,7,0,0,0,0,127,0.41
104,16,7,0,0,1,0,128,0.415
105,16,7,0,0,0,0,128,0.42
105,16,7,0,0,0,0,128,0.425
105,16,7,0,0,0,0,128,0.43
105,16,7,0,0,0,0,128,0.435
105,16,7,0,0,1,0,129,0.44
105,16,7,0,0,1,0,129,0.445
105,17,7,0,0,1,0,130,0.45
105,17,7,0,0,1,0,130,0.455
105,17,7,0,0,1,0,130,0.46
105,17,7,0,0,1,0,130,0.465
105,17,8,0,0,0,0,130,0.47
105,17,8,0,0,0,0,130,0.475
105,17,8,0,0,0,0,130,0.48
105,17,8,0,0,0,0,130,0.485
105,17,8,0,0,0,0,130,0.49
105,17,8,0,0,0,0,130,0.495
105,17,8,0,0,0,0,130,0.5
105,17,8,0,0,0,0,130,0.505
105,17,8,0,0,1,0,131,0.51
105,17,8,0,0,2,0,132,0.515
106,17,8,0,0,2,0,133,0.52
107,17,8,0,0,1,0,133,0.525
107,17,8,0,0,1,0,133,0.53
107,17,8,0,1,0,0,133,0.535
107,17,8,0,1,1,0,134,0.54
107,17,9,0,1,0,0,134,0.545
107,17,9,0,1,0,0,134,0.55
107,17,9,0,1,0,0,134,0.555
107,17,9,0,1,0,0,134,0.56
107,17,9,0,1,0,0,134,0.565
107,17,9,0,1,0,0,134,0.57
107,17,9,0,1,0,0,134,0.575
107,17,10,0,1,0,0,135,0.58
107,17,10,0,1,0,0,135,0.585
107,17,10,0,1,0,0,135,0.59
107,17,10,0,1,0,0,135,0.595
107,17,10,0,1,0,0,135,0.6
107,17,10,0,1,0,0,135,0.605
107,17,10,0,1,0,0,135,0.61
107,17,10,0,1,0,0,135,0.615
107,17,10,0,1,0,0,135,0.62
107,17,10,0,1,1,0,136,0.625
107,18,10,0,1,0,0,136,0.63
107,18,10,0,1,0,0,136,0.635
107,18,11,0,1,0,0,137,0.64
107,18,11,0,1,1,0,138,0.645
107,18,11,0,1,1,0,138,0.65
109,18,11,0,1,0,0,139,0.655
109,18,11,0,1,1,0,140,0.66
109,18,11,0,1,1,0,140,0.665
110,18,11,0,1,0,0,140,0.67
110,18,11,0,1,0,0,140,0.675
110,18,11,0,1,1,0,141,0.68
110,18,11,0,1,2,0,142,0.685
110,19,11,0,1,1,0,142,0.69
110,19,12,0,1,0,0,142,0.695
110,20,12,0,1,1,0,144,0.7
110,21,13,0,1,0,0,145,0.705
110,21,13,0,1,1,0,146,0.71
110,22,13,0,1,0,0,146,0.715
110,22,13,0,1,0,0,146,0.72
110,22,13,0,1,0,0,146,0.725
110,22,13,0,1,3,0,149,0.73
110,22,14,0,1,2,0,149,0.735
112,22,14,0,1,1,0,150,0.74
112,23,15,0,1,0,0,151,0.745
112,23,15,0,1,1,0,152,0.75
113,24,16,0,1,0,0,154,0.755
113,24,16,0,1,0,0,154,0.76
113,24,16,0,1,0,0,154,0.765
113,24,16,0,1,0,0,154,0.77
113,24,16,0,1,0,0,154,0.775
113,24,16,0,1,0,0,154,0.78
113,24,16,0,1,1,0,155,0.785
113,24,16,0,1,1,0,155,0.79
113,25,16,0,1,0,0,155,0.795
113,25,16,0,1,0,0,155,0.8
113,25,16,0,1,0,0,155,0.805
113,25,16,0,1,0,0,155,0.81
113,25,17,0,1,0,0,156,0.815
113,25,17,0,1,0,0,156,0.82
113,25,17,0,1,0,0,156,0.825
113,25,17,0,1,0,0,156,0.83
113,25,17,0,1,0,0,156,0.835
113,26,17,0,1,0,0,157,0.84
113,26,17,0,1,0,0,157,0.845
113,26,17,0,1,0,0,157,0.85
113,26,17,0,1,0,0,157,0.855
113,26,17,0,1,0,0,157,0.86
113,26,18,0,1,0,0,158,0.865
113,26,18,0,1,0,0,158,0.87
114,26,18,0,1,0,0,159,0.875
114,26,18,0,1,0,0,159,0.88
114,26,18,0,1,0,0,159,0.885
114,26,18,0,1,0,0,159,0.89
114,26,18,0,1,0,0,159,0.895
114,26,18,0,1,1,0,160,0.9
114,26,18,0,1,2,0,161,0.905
114,28,18,0,1,1,0,162,0.91
114,28,19,0,1,0,0,162,0.915
114,28,19,0,1,1,0,163,0.92
114,28,19,0,1,1,0,163,0.925
114,28,20,0,1,1,0,164,0.93
114,28,20,0,1,2,0,165,0.935
115,28,21,0,1,0,0,165,0.94
115,28,21,0,1,0,0,165,0.945
115,28,21,0,1,0,0,165,0.95
115,28,21,0,1,1,0,166,0.955
116,28,22,0,1,0,0,167,0.96
116,28,22,0,1,0,0,167,0.965
116,28,22,0,1,0,0,167,0.97
116,28,23,0,1,0,0,168,0.975
116,28,23,0,1,0,0,168,0.98
116,28,23,0,1,0,0,168,0.985
117,28,23,0,1,0,0,169,0.99
117,28,23,0,1,1,0,170,0.995
117,28,23,0,1,1,0,170,1
117,28,24,0,1,0,0,170,1.005
117,28,24,0,1,0,0,170,1.01
117,28,24,0,1,0,0,170,1.015
117,28,24,0,1,0,0,170,1.02
117,28,24,0,1,0,0,170,1.025
117,28,25,0,1,0,0,171,1.03
117,28,25,0,1,0,0,171,1.035
117,28,25,0,1,0,0,171,1.04
117,28,25,0,1,0,0,171,1.045
117,28,25,0,1,0,0,171,1.05
117,28,25,0,1,1,0,172,1.055
117,28,25,0,1,2,0,173,1.06
117,29,25,0,1,2,0,174,1.065
118,29,25,0,1,2,0,175,1.07
118,29,25,0,2,3,0,177,1.075
118,30,27,0,2,0,0,177,1.08
118,31,27,0,2,1,0,179,1.085
118,31,28,0,2,0,0,179,1.09
118,31,29,0,2,1,0,181,1.095
118,31,29,0,2,1,0,181,1.1
119,31,29,0,2,2,0,183,1.105
119,31,29,0,3,1,0,183,1.11
119,31,29,0,3,2,0,184,1.115
120,31,29,0,3,2,0,185,1.12
120,32,29,0,3,1,0,185,1.125
120,32,30,0,3,0,0,185,1.13
120,32,30,0,3,0,0,185,1.135
120,32,30,0,3,0,0,185,1.14
120,32,30,0,3,0,0,185,1.145
120,32,30,0,3,1,0,186,1.15
120,32,30,0,3,1,0,186,1.155
120,32,30,0,3,1,0,186,1.16
120,32,30,0,3,1,0,186,1.165
120,32,30,0,3,3,0,188,1.17
120,32,30,0,3,3,0,188,1.175
120,32,31,0,3,3,0,189,1.18
120,32,33,0,3,1,0,189,1.185
120,32,33,0,3,1,0,189,1.19
120,32,33,0,3,1,0,189,1.195
120,32,33,0,3,2,0,190,1.2
120,32,34,0,3,1,0,190,1.205
120,32,34,0,3,1,0,190,1.21
120,32,35,0,3,0,0,190,1.215
120,32,35,0,3,0,0,190,1.22
120,32,35,0,3,0,0,190,1.225
120,32,36,0,3,0,0,191,1.23
120,32,36,0,3,1,0,192,1.235
120,32,36,0,3,4,0,195,1.24
120,33,36,0,3,3,0,195,1.245
120,33,37,0,4,4,0,198,1.25
121,34,37,0,4,2,0,198,1.255
121,36,37,0,4,0,0,198,1.26
121,37,37,0,4,0,0,199,1.265
121,37,37,0,4,0,0,199,1.27
121,37,37,0,4,0,0,199,1.275
121,37,38,0,4,0,0,200,1.28
121,37,38,0,4,0,0,200,1.285
121,37,38,0,4,0,0,200,1.29
121,37,38,0,4,0,0,200,1.295
121,37,38,0,4,0,0,200,1.3
121,37,38,0,4,0,0,200,1.305
121,37,38,0,4,2,0,202,1.31
121,38,38,0,4,1,0,202,1.315
121,38,39,0,4,0,0,202,1.32
121,38,39,0,4,0,0,202,1.325
121,38,39,0,4,1,0,203,1.33
122,38,40,0,4,1,0,205,1.335
123,38,40,0,4,1,0,206,1.34
123,38,40,0,4,1,0,206,1.345
123,38,41,0,4,2,0,208,1.35
123,39,42,0,4,0,0,208,1.355
123,39,42,0,4,1,0,209,1.36
123,39,42,0,4,2,0,210,1.365
123,40,42,0,4,1,0,210,1.37
123,40,42,0,4,2,0,211,1.375
123,42,42,0,4,0,0,211,1.38
123,42,42,0,4,1,0,212,1.385
123,42,43,0,4,1,0,213,1.39
123,43,43,0,4,1,0,214,1.395
124,43,43,0,4,0,0,214,1.4
124,43,43,0,4,0,0,214,1.405
124,43,43,0,4,0,0,214,1.41
124,43,44,0,4,1,0,216,1.415
124,43,45,0,4,0,0,216,1.42
125,43,46,0,4,1,0,219,1.425
125,43,46,0,4,1,0,219,1.43
125,43,48,0,4,0,0,220,1.435
126,43,48,0,4,0,0,221,1.44
126,43,49,0,4,0,0,222,1.445
126,43,50,0,4,0,0,223,1.45
126,43,50,0,4,0,0,223,1.455
126,43,51,0,4,0,0,224,1.46
126,43,51,0,4,1,0,225,1.465
126,43,51,0,4,2,0,226,1.47
127,43,51,0,4,3,0,228,1.475
127,43,52,0,4,5,0,231,1.48
127,44,52,0,4,4,0,231,1.485
127,44,52,0,4,5,0,232,1.49
128,45,52,0,4,3,0,232,1.495
128,45,53,0,4,2,0,232,1.5
128,47,53,0,4,0,0,232,1.505
128,47,53,0,4,1,0,233,1.51
128,47,53,0,4,1,0,233,1.515
128,47,55,0,4,1,0,235,1.52
129,47,55,0,4,1,0,236,1.525
129,47,55,0,4,1,0,236,1.53
130,48,55,0,5,0,0,238,1.535
130,49,55,0,5,0,0,239,1.54
130,49,56,0,5,2,0,242,1.545
131,49,56,0,5,1,0,242,1.55
132,49,56,0,5,0,0,242,1.555
132,49,56,0,5,1,0,243,1.56
132,49,57,0,5,1,0,244,1.565
132,49,57,0,5,2,0,245,1.57
132,49,58,0,5,1,0,245,1.575
132,50,59,0,5,0,0,246,1.58
132,50,59,0,5,0,0,246,1.585
132,50,59,0,5,3,0,249,1.59
132,50,62,0,5,0,0,249,1.595
132,50,62,0,5,1,0,250,1.6
132,51,62,0,5,2,0,252,1.605
132,51,62,0,5,3,0,253,1.61
132,51,64,0,5,1,0,253,1.615
132,52,65,0,5,0,0,254,1.62
132,52,65,0,5,0,0,254,1.625
132,52,65,0,5,2,0,256,1.63
132,52,65,0,7,2,0,258,1.635
132,53,66,0,7,2,0,260,1.64
132,53,66,0,7,2,0,260,1.645
132,53,66,0,7,3,0,261,1.65
133,53,68,0,7,0,0,261,1.655
133,53,68,0,7,0,0,261,1.66
133,53,68,0,7,0,0,261,1.665
133,53,68,0,7,0,0,261,1.67
133,53,68,0,7,2,0,263,1.675
133,55,68,0,7,0,0,263,1.68
133,55,69,0,7,3,0,267,1.685
133,56,69,0,7,4,0,269,1.69
134,56,70,0,7,3,0,270,1.695
135,56,71,0,7,1,0,270,1.7
135,56,71,0,7,1,0,270,1.705
135,57,71,0,7,1,0,271,1.71
135,59,72,0,7,1,0,274,1.715
135,59,72,0,7,2,0,275,1.72
137,59,72,0,7,0,0,275,1.725
137,59,73,0,7,1,0,277,1.73
137,59,75,0,7,2,0,280,1.735
137,60,75,0,7,2,0,281,1.74
137,61,75,0,8,1,0,282,1.745
137,61,76,0,8,2,0,284,1.75
137,62,76,0,8,1,0,284,1.755
137,62,76,0,8,4,0,287,1.76
138,62,78,0,8,4,0,290,1.765
138,63,78,0,8,4,0,291,1.77
139,64,78,0,9,1,0,291,1.775
140,64,79,0,9,0,0,292,1.78
140,64,79,0,9,0,0,292,1.785
140,64,79,0,9,1,0,293,1.79
140,65,79,0,9,1,0,294,1.795
140,65,79,0,9,2,0,295,1.8
140,67,80,0,9,0,0,296,1.805
140,67,80,0,9,0,0,296,1.81
140,67,80,0,9,0,0,296,1.815
140,67,80,0,9,0,0,296,1.82
140,67,80,0,9,1,0,297,1.825
140,67,80,0,9,2,0,298,1.83
140,67,80,0,9,2,0,298,1.835
140,67,81,0,9,1,0,298,1.84
140,67,82,0,9,2,0,300,1.845
140,68,83,0,9,1,0,301,1.85
140,69,83,0,9,3,0,304,1.855
141,70,83,0,9,3,0,306,1.86
141,71,84,0,9,4,0,309,1.865
141,71,84,0,9,4,0,309,1.87
141,71,85,0,9,4,0,310,1.875
143,71,85,0,9,4,0,312,1.88
143,73,85,0,9,4,0,314,1.885
143,73,86,0,9,6,0,317,1.89
145,73,87,0,9,5,0,319,1.895
145,73,89,0,9,3,0,319,1.9
145,73,89,0,9,4,0,320,1.905
147,73,90,0,9,3,0,322,1.91
147,73,90,0,9,4,0,323,1.915
147,74,91,0,9,3,0,324,1.92
147,75,91,0,9,4,0,326,1.925
147,75,91,0,10,4,0,327,1.93
147,78,91,0,10,6,0,332,1.935
148,78,92,0,11,3,0,332,1.94
150,78,92,0,11,3,0,334,1.945
150,78,93,0,11,2,0,334,1.95
150,79,93,0,11,1,0,334,1.955
150,79,94,0,11,2,0,336,1.96
151,79,96,0,11,2,0,339,1.965
151,80,96,0,11,6,0,344,1.97
151,82,97,0,11,5,0,346,1.975
152,83,100,0,11,3,0,349,1.98
152,83,100,0,13,2,0,350,1.985
152,83,101,0,13,3,0,352,1.99
152,84,102,0,13,3,0,354,1.995
152,84,104,0,13,2,0,355,2
152,85,104,0,13,1,0,355,2.005
152,85,104,0,13,2,0,356,2.01
152,86,104,0,13,2,0,357,2.015
152,86,104,0,13,3,0,358,2.02
152,86,104,0,13,3,0,358,2.025
152,87,104,0,13,4,0,360,2.03
152,88,105,0,13,5,0,363,2.035
152,88,106,0,13,4,0,363,2.04
152,88,106,0,13,5,0,364,2.045
152,89,106,0,13,4,0,364,2.05
153,89,106,0,13,5,0,366,2.055
153,89,106,0,13,7,0,368,2.06
153,89,108,0,13,8,0,371,2.065
153,89,110,0,13,8,0,373,2.07
153,89,110,0,14,9,0,375,2.075
153,89,111,0,14,9,0,376,2.08
153,90,113,0,14,7,0,377,2.085
154,92,113,0,14,5,0,378,2.09
154,92,114,0,14,5,0,379,2.095
154,94,114,0,15,4,0,381,2.1
154,94,114,0,16,4,0,382,2.105
154,95,115,0,16,3,0,383,2.11
154,96,116,0,16,2,0,384,2.115
155,96,116,0,16,4,0,387,2.12
155,96,117,0,16,6,0,390,2.125
155,96,117,0,17,6,0,391,2.13
155,97,117,0,17,5,0,391,2.135
155,98,119,0,17,3,0,392,2.14
156,98,120,0,17,2,0,393,2.145
157,98,121,0,17,2,0,395,2.15
157,98,121,0,17,3,0,396,2.155
158,100,121,0,17,1,0,397,2.16
158,100,121,0,17,4,0,400,2.165
158,102,121,0,18,5,0,404,2.17
158,103,121,0,18,6,0,406,2.175
158,103,121,0,18,8,0,408,2.18
158,106,121,0,18,10,0,413,2.185
158,107,122,0,18,10,0,415,2.19
158,107,124,0,18,9,0,416,2.195
158,107,124,0,18,10,0,417,2.2
158,109,126,0,18,11,0,422,2.205
159,110,128,0,18,7,0,422,2.21
160,111,129,0,19,6,0,425,2.215
160,112,129,0,19,7,0,427,2.22
160,112,131,0,19,10,0,432,2.225
161,113,133,0,19,6,0,432,2.23
161,114,133,0,19,7,0,434,2.235
161,115,135,0,19,7,0,437,2.24
161,115,136,0,19,8,0,439,2.245
161,115,136,0,19,11,0,442,2.25
162,116,137,0,19,9,0,443,2.255
162,118,138,0,19,8,0,445,2.26
165,118,140,0,19,6,0,448,2.265
166,118,142,0,19,7,0,452,2.27
166,118,144,0,19,10,0,457,2.275
166,119,145,0,19,9,0,458,2.28
166,120,147,0,19,7,0,459,2.285
166,121,148,0,19,6,0,460,2.29
166,122,148,0,19,8,0,463,2.295
166,123,150,0,20,6,0,465,2.3
168,123,151,0,20,5,0,467,2.305
168,123,152,0,20,5,0,468,2.31
168,123,152,0,20,8,0,471,2.315
169,123,155,0,20,7,0,474,2.32
169,125,155,0,20,6,0,475,2.325
171,126,155,0,20,6,0,478,2.33
171,126,158,0,20,4,0,479,2.335
172,126,159,0,20,4,0,481,2.34
172,128,159,0,20,3,0,482,2.345
172,128,159,0,20,3,0,482,2.35
172,128,160,0,20,4,0,484,2.355
172,128,161,0,20,7,0,488,2.36
172,130,162,0,20,7,0,491,2.365
172,130,164,0,20,7,0,493,2.37
174,131,164,0,20,5,0,494,2.375
174,131,164,0,21,6,0,496,2.38
175,132,165,0,21,4,0,497,2.385
175,133,165,0,21,5,0,499,2.39
175,133,167,0,21,5,0,501,2.395
175,133,167,0,21,8,0,504,2.4
176,134,168,0,21,9,0,508,2.405
176,135,169,0,21,8,0,509,2.41
176,138,169,0,21,6,0,510,2.415
177,139,171,0,21,5,0,513,2.42
177,139,173,0,21,5,0,515,2.425
178,139,173,0,21,4,0,515,2.43
179,139,173,0,21,6,0,518,2.435
179,139,176,0,21,4,0,519,2.44
179,140,176,0,21,8,0,524,2.445
180,140,176,0,22,6,0,524,2.45
180,140,176,0,22,6,0,524,2.455
181,141,176,0,22,7,0,527,2.46
181,143,176,0,23,7,0,530,2.465
182,143,177,0,23,6,0,531,2.47
182,144,178,0,23,7,0,534,2.475
182,146,178,0,23,7,0,536,2.48
183,148,178,0,23,6,0,538,2.485
186,150,178,0,23,6,0,543,2.49
187,150,179,0,23,8,0,547,2.495
188,152,179,0,23,8,0,550,2.5
189,152,180,0,23,8,0,552,2.505
189,152,180,0,23,12,0,556,2.51
191,152,181,0,23,13,0,560,2.515
195,154,181,0,23,11,0,564,2.52
197,156,182,0,23,10,0,568,2.525
197,156,186,0,23,8,0,570,2.53
198,159,187,0,23,6,0,573,2.535
199,161,190,0,23,4,0,577,2.54
199,162,190,0,23,9,0,583,2.545
199,162,191,0,23,11,0,586,2.55
201,163,191,0,23,11,0,589,2.555
201,163,191,0,23,13,0,591,2.56
202,164,192,0,23,16,0,597,2.565
202,164,193,0,23,20,0,602,2.57
202,166,194,0,23,17,0,602,2.575
202,166,196,0,23,17,0,604,2.58
202,168,196,0,23,24,0,613,2.585
203,168,198,0,23,23,0,615,2.59
203,169,200,0,23,20,0,615,2.595
203,171,204,0,23,17,0,618,2.6
203,171,205,0,23,19,0,621,2.605
204,172,207,0,23,17,0,623,2.61
205,173,209,0,23,16,0,626,2.615
205,174,210,0,24,13,0,626,2.62
206,174,211,0,24,15,0,630,2.625
206,174,212,0,24,18,0,634,2.63
207,175,214,0,24,17,0,637,2.635
209,175,216,0,25,14,0,639,2.64
211,175,221,0,25,9,0,641,2.645
212,176,222,0,25,9,0,644,2.65
212,176,223,0,26,12,0,649,2.655
213,176,224,0,27,11,0,651,2.66
215,177,224,0,27,8,0,651,2.665
215,177,224,0,27,9,0,652,2.67
216,177,225,0,27,10,0,655,2.675
216,177,226,0,27,12,0,658,2.68
217,177,228,0,27,12,0,661,2.685
218,179,228,0,27,14,0,666,2.69
218,179,230,0,27,13,0,667,2.695
219,181,231,0,27,12,0,670,2.7
220,181,232,0,27,13,0,673,2.705
220,183,233,0,29,16,0,681,2.71
221,184,238,0,29,12,0,684,2.715
221,184,241,0,29,11,0,686,2.72
221,187,243,0,29,9,0,689,2.725
221,187,244,0,29,8,0,689,2.73
224,187,245,0,29,7,0,692,2.735
224,190,245,0,29,8,0,696,2.74
225,190,245,0,29,12,0,701,2.745
225,190,245,0,29,17,0,706,2.75
225,192,247,0,29,17,0,710,2.755
225,194,249,0,30,14,0,712,2.76
225,196,251,0,30,16,0,718,2.765
226,197,253,0,31,14,0,721,2.77
226,197,255,0,31,13,0,722,2.775
226,198,257,0,31,15,0,727,2.78
227,199,259,0,31,15,0,731,2.785
229,201,261,0,31,13,0,735,2.79
229,201,262,0,31,16,0,739,2.795
230,201,262,0,31,15,0,739,2.8
231,203,262,0,31,19,0,746,2.805
231,207,262,0,31,21,0,752,2.81
231,208,265,0,31,20,0,755,2.815
232,210,266,0,31,25,0,764,2.82
232,210,269,0,31,24,0,766,2.825
235,212,269,0,31,24,0,771,2.83
235,212,271,0,32,24,0,774,2.835
235,215,274,0,32,21,0,777,2.84
236,217,275,0,32,21,0,781,2.845
236,217,277,0,32,20,0,782,2.85
238,218,280,0,32,17,0,785,2.855
241,218,283,0,32,15,0,789,2.86
241,218,283,0,33,17,0,792,2.865
241,221,283,0,34,18,0,797,2.87
242,222,283,0,34,23,0,804,2.875
243,222,284,0,34,26,0,809,2.88
244,222,285,0,34,27,0,812,2.885
247,223,288,0,34,20,0,812,2.89
247,224,290,0,34,24,0,819,2.895
248,225,290,0,34,27,0,824,2.9
250,227,292,0,34,22,0,825,2.905
251,227,293,0,34,22,0,827,2.91
253,227,294,0,34,21,0,829,2.915
254,227,298,0,34,20,0,833,2.92
256,228,301,0,34,22,0,841,2.925
256,233,302,0,34,18,0,843,2.93
258,233,302,0,34,20,0,847,2.935
259,233,304,0,34,23,0,853,2.94
260,234,306,0,35,23,0,858,2.945
261,235,308,0,35,22,0,861,2.95
265,237,312,0,35,17,0,866,2.955
267,238,316,0,35,12,0,868,2.96
267,241,317,0,35,13,0,873,2.965
268,242,318,0,35,15,0,878,2.97
268,242,319,0,36,21,0,886,2.975
270,244,322,0,37,16,0,889,2.98
270,245,325,0,37,20,0,897,2.985
270,245,326,0,37,22,0,900,2.99
270,246,327,0,37,25,0,905,2.995
273,246,328,0,38,29,0,914,3
273,246,330,0,38,32,0,919,3.005
273,247,334,0,38,31,0,923,3.01
276,248,337,0,39,27,0,927,3.015
278,248,339,0,39,23,0,927,3.02
278,248,341,0,39,23,0,929,3.025
278,250,342,0,40,27,0,937,3.03
279,250,343,0,41,29,0,942,3.035
280,251,346,0,41,28,0,946,3.04
281,252,349,0,41,26,0,949,3.045
281,254,352,0,42,25,0,954,3.05
282,254,355,0,42,28,0,961,3.055
282,255,358,0,43,28,0,966,3.06
285,257,360,0,43,25,0,970,3.065
286,257,363,0,43,29,0,978,3.07
290,258,365,0,44,24,0,981,3.075
291,259,371,0,44,23,0,988,3.08
293,259,375,0,44,20,0,991,3.085
293,261,378,0,44,19,0,995,3.09
294,262,382,0,45,17,0,1000,3.095
294,263,384,0,45,17,0,1003,3.1
294,265,386,0,45,15,0,1005,3.105
294,265,387,0,45,17,0,1008,3.11
294,266,390,0,45,17,0,1012,3.115
294,267,391,0,46,20,0,1018,3.12
295,270,396,0,46,16,0,1023,3.125
298,271,397,0,46,14,0,1026,3.13
298,271,400,0,46,18,0,1033,3.135
298,272,402,0,46,22,0,1040,3.14
301,273,405,0,46,22,0,1047,3.145
301,276,408,0,46,20,0,1051,3.15
302,277,411,0,46,18,0,1054,3.155
302,278,414,0,46,19,0,1059,3.16
303,278,415,0,46,24,0,1066,3.165
303,278,417,0,46,27,0,1071,3.17
305,278,419,0,46,27,0,1075,3.175
306,282,419,0,46,26,0,1079,3.18
308,283,421,0,46,23,0,1081,3.185
310,285,426,0,46,19,0,1086,3.19
311,286,430,0,46,22,0,1095,3.195
311,286,434,0,47,22,0,1100,3.2
312,287,436,0,47,26,0,1108,3.205
313,287,440,0,47,26,0,1113,3.21
316,290,443,0,48,27,0,1124,3.215
318,291,445,0,48,31,0,1133,3.22
320,294,448,0,48,27,0,1137,3.225
322,296,452,0,49,25,0,1144,3.23
323,296,456,0,49,25,0,1149,3.235
325,296,458,0,49,31,0,1159,3.24
327,296,458,0,49,33,0,1163,3.245
328,296,459,0,49,39,0,1171,3.25
329,297,461,0,49,39,0,1175,3.255
330,298,464,0,49,38,0,1179,3.26
333,298,465,0,49,44,0,1189,3.265
336,301,466,0,49,41,0,1193,3.27
336,303,467,0,49,39,0,1194,3.275
337,304,469,0,49,44,0,1203,3.28
337,308,473,0,49,41,0,1208,3.285
339,309,473,0,49,47,0,1217,3.29
340,312,480,0,49,44,0,1225,3.295
341,315,485,0,50,38,0,1229,3.3
348,317,485,0,50,33,0,1233,3.305
349,321,489,0,50,30,0,1239,3.31
351,322,490,0,50,36,0,1249,3.315
351,324,495,0,50,32,0,1252,3.32
352,324,496,0,50,37,0,1259,3.325
352,327,498,0,50,39,0,1266,3.33
353,330,502,0,50,39,0,1274,3.335
354,333,505,0,51,35,0,1278,3.34
356,333,510,0,52,37,0,1288,3.345
358,334,512,0,52,42,0,1298,3.35
359,337,514,0,53,38,0,1301,3.355
360,338,516,0,53,38,0,1305,3.36
363,340,519,0,53,37,0,1312,3.365
364,344,521,0,54,39,0,1322,3.37
365,344,525,0,55,38,0,1327,3.375
367,346,527,0,55,40,0,1335,3.38
369,348,529,0,55,39,0,1340,3.385
370,349,533,0,56,36,0,1344,3.39
375,351,542,0,56,24,0,1348,3.395
375,353,544,0,56,28,0,1356,3.4
376,354,544,0,56,30,0,1360,3.405
378,356,547,0,57,30,0,1368,3.41
379,360,551,0,57,25,0,1372,3.415
379,362,553,0,57,30,0,1381,3.42
379,363,555,0,57,34,0,1388,3.425
379,366,560,0,59,28,0,1392,3.43
380,367,564,0,60,28,0,1399,3.435
381,368,567,0,60,30,0,1406,3.44
382,370,570,0,61,29,0,1412,3.445
382,371,578,0,61,30,0,1422,3.45
383,373,579,0,61,32,0,1428,3.455
384,374,581,0,61,32,0,1432,3.46
386,374,584,0,61,32,0,1437,3.465
