growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,cm_uM,source,model_k,model_cm_kon,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate,det_fR,det_growth_rate
0.46,2.02040862772034,30,1,0,6,Si 2017,3.67759585737632,1.554875,0,0.125082594617031,0.374917405382969,0.5,0.232114318981632,0.460003231793474,0.371179887229563,0.438548835222893
0.34,2.14828259150011,30,1,0,8,Si 2017,3.67759585737632,1.9005,0,0.0924526289085247,0.407547371091475,0.5,0.155522273055828,0.340003405077541,0.404430759191995,0.32300631830125
0.25,2.25058176252393,30,1,0,10,Si 2017,3.67759585737632,2.173875,0,0.0679779585116009,0.432022041488399,0.5,0.106823868827882,0.249995458615163,0.42943815377154,0.237212496610335
0.65,1.56006235811318,31,0,0,0,Si 2017,1.88307006464046,0,0,0.345179201703387,0.154820798296613,0.5,1,0.649996621664142,0.152188362553846,0.635018903685936
0.59,1.50891277260127,31,1,0,1,Si 2017,1.88307006464046,0.2476875,0,0.313321106335765,0.186678893664235,0.5,0.707809935954201,0.59000559596091,0.183840208185149,0.573467356693857
0.46,1.50891277260127,31,1,0,2,Si 2017,1.88307006464046,0.803062500000001,0,0.244279484359674,0.255720515640326,0.5,0.369186185609876,0.459995384403511,0.252671049131724,0.442201189897152
0.43,1.63678673638104,31,1,0,3,Si 2017,1.88307006464046,0.934187500000001,0,0.2283523427738,0.2716476572262,0.5,0.320190914798318,0.430003460867861,0.268591069788466,0.412344240660729
0.34,1.73908590740485,31,1,0,4,Si 2017,1.88307006464046,1.334875,0,0.180555389699434,0.319444610300566,0.5,0.207729814655815,0.339998449352498,0.316536850339971,0.323586453235697
0.31,1.84138507842867,31,1,0,5,Si 2017,1.88307006464046,1.471375,0,0.164627121394603,0.335372878605398,0.5,0.17863575041057,0.310004404126108,0.33243459376864,0.294560125870427
0.27,1.84138507842867,31,1,0,5.5,Si 2017,1.88307006464046,1.65675,0,0.143386173289711,0.356613826710289,0.5,0.144574835527548,0.270006210605204,0.353782285181036,0.255834999531863
0.24,1.89253466394058,31,1,0,6,Si 2017,1.88307006464046,1.798875,0,0.127452179163438,0.372547820836562,0.5,0.122018773459913,0.240001383255864,0.369867406301396,0.226925680893348
0.36,1.15086567401792,32,0,0,0,Si 2017,0.903463363279059,0,0,0.398451272161914,0.101548727838086,0.5,1,0.359986126450223,0.100337090096613,0.353835284370031
0.32,1.09971608850601,32,1,0,0.2,Si 2017,0.903463363279059,0.28775,0,0.354195664200779,0.145804335799221,0.5,0.534198797338297,0.320002806037696,0.14433989300128,0.312053692684802
0.28,1.02299171023815,32,1,0,0.4,Si 2017,0.903463363279059,0.593937500000001,0,0.309920057422036,0.190079942577964,0.5,0.328078571617342,0.280001417426152,0.188409611760706,0.270896377251098
0.23,0.971842124726242,32,1,0,0.6,Si 2017,0.903463363279059,0.994937500000001,0,0.254573465593394,0.245426534406606,0.5,0.194340383288133,0.229997799426613,0.243561753238093,0.220403216311417
0.21,0.997416917482195,32,1,0,0.8,Si 2017,0.903463363279059,1.1606875,0,0.232437074870867,0.267562925129133,0.5,0.159339922552362,0.20999838141358,0.265618884645333,0.20051566831969
0.801,1.99615067209644,16,0,0,0,Taheri-Araghi 2015,2.51172040963575,0,0,0.318907169514873,0.181092830485127,0.5,1,0.801005646449673,0.17764220537076,0.78090785298079
0.814,2.12171498856703,17,0,0,0,Taheri-Araghi 2015,2.57053787172385,0,0,0.316671678695063,0.183328321304937,0.5,1,0.814016542988026,0.179805285267119,0.793474736991274
1.093,2.82036772380078,18,0,0,0,Taheri-Araghi 2015,4.05463363237221,0,0,0.269566381427737,0.230433618572263,0.5,1,1.09299291629378,0.225421306417753,1.06310495354131
1.37,3.79590587484146,19,0,0,0,Taheri-Araghi 2015,6.1184936445262,0,0,0.223913351455216,0.276086648544784,0.5,1,1.3700124178033,0.269867655785602,1.33205137921107
1.548,4.90022794021095,20,0,0,0,Taheri-Araghi 2015,7.94246302298784,0,0,0.194901743257779,0.305098256742221,0.5,1,1.54799988894078,0.298280623590292,1.50649550196837
1.838,7.75601124045215,21,0,0,0,Taheri-Araghi 2015,12.4064637062068,0,0,0.14815067749413,0.35184932250587,0.5,1,1.83802600338087,0.344715186979533,1.79374148444131
2.419,12.8526346500145,22,0,0,0,Taheri-Araghi 2015,43.6254408189479,0,0,0.0554495694136443,0.444550430586356,0.5,1,2.41901190889108,0.439999714479072,2.38735833917876
