t,A,E,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
0.733111506908734,2.27628354531697,4.82308335862227,2.98279893040152,6.04470583121976,0,1.76117645780494,17.8880481233655,15.6117645780485,0.127251644764063,0.269626027689535,0.166748149928408,0.337918692387915,0.0984554852300784
0.813955201402304,2.11028863046643,5.2456965137457,3.3608790647279,6.68526046277875,0,1.92131511569469,19.3234397874135,17.213151156947,0.10920874614886,0.271468049760092,0.173927577165482,0.3459663774321,0.0994292494934653
0.887333999465965,1.92509483021974,5.7247575601846,3.6843054501032,7.32725040822819,0,2.08181260205705,20.7432208507928,18.818126020573,0.0928059747358937,0.275982095613942,0.177614917018173,0.353235905886243,0.100361106745748
0.955728860662338,1.75829382507541,6.254286167504,3.96081213772122,7.97207864417798,0,2.24301966104449,22.1884904355231,20.4301966104477,0.0792435082586978,0.281870737699716,0.178507508170997,0.359288914554319,0.101089331316271
1.02372742546501,1.63068211478053,6.85385865233762,4.2113028348866,8.65212918977388,0,2.41303229744347,23.7610050892221,22.1303229744416,0.0686284990326524,0.288449862562695,0.177235887921123,0.364131448029463,0.101554302454066
1.09573406844102,1.56630913457107,7.55638828157497,4.45633590575619,9.4101793498555,0,2.60254483746388,25.5917575092216,24.0254483746505,0.0612036564509753,0.295266484877099,0.174131686897643,0.36770352120071,0.101694650573572
1.17967465305402,1.60808912007352,8.4453214010092,4.73146833372204,10.3414317877808,0,2.8353579469452,27.9616685895307,26.3535794694572,0.0575104849313468,0.302032097046285,0.169212660488136,0.369843157058687,0.101401600475545
1.29703006534901,1.89037315326576,9.78416781240464,5.13857890014862,11.7381973700516,0,3.1845493425129,31.7358665783835,29.8454934251178,0.0595658274714757,0.30830000460958,0.161917081654506,0.369871651087887,0.100345435176552
1.39148145937652,2.29460456377578,10.9278232267991,5.51883896540758,12.9573297537848,0,3.4893324384462,35.1879289482134,32.8933243844376,0.0652099919592534,0.310556021722157,0.156838982297871,0.368232235914034,0.099162768106685
1.47576615706192,2.76785151020977,11.9934318677854,5.92124393976693,14.1317406460615,0,3.78293516151537,38.597203125339,35.8293516151292,0.071711193715813,0.310733185221697,0.153411217920079,0.366133799906968,0.0980106032354422
1.56113177229694,3.33028672275,13.1189625084565,6.40601456845155,15.4199816615496,0,4.10499541538739,42.380240876595,39.0499541538451,0.07858111831991,0.309553750453118,0.151155690386586,0.363848372321674,0.096861068518712
1.65129413600887,3.9839645939277,14.3683804525831,7.01639401472726,16.90781957387,0,4.4769548934675,46.7535135285756,42.7695489346479,0.0852120898142279,0.307321939426033,0.150072015666563,0.361637410705743,0.095756544387433
1.7493980471104,4.72476747185468,15.8192801786676,7.80781487147153,18.7016760401263,0,4.92541901003157,51.9789575721516,47.2541901002969,0.0908976957703753,0.304340081401381,0.150211070713251,0.35979321082318,0.0947579412918127
1.86051733679276,5.55051955958328,17.6174086175811,8.87407641204683,20.9931880236956,0,5.49829700592391,58.5334896188308,52.9829700592475,0.0948263907675448,0.300979981414151,0.151606823202148,0.358652596323967,0.0939342082921886
1.99907198290897,6.49940425406869,20.1763051509247,10.457597942727,24.3071224749912,0,6.3267806187478,67.7672104414595,61.2678061873908,0.0959078027814526,0.297729610227265,0.154316488381365,0.358685599077283,0.0933604995326342
2.17261980310148,7.54310919660561,24.0608778107182,12.8147789255076,29.3005253889842,0,7.57513134724605,81.2944226690616,73.751313472456,0.092787536327216,0.295972060822262,0.157634171014103,0.360424792095057,0.0931814397413629
2.3116976042192,8.33960461297162,27.8645077926481,14.9787459771483,34.0746030157824,0,8.7686507539456,94.026112152496,85.6865075395243,0.0886945596500476,0.29634861162244,0.159304108552899,0.362395107441203,0.0932576127334095
2.43545887525599,9.13410183636006,31.8571526563315,17.1059028388858,38.9704443961719,0,9.99261109904298,107.060212826792,97.9261109904322,0.0853174264760495,0.297562949065604,0.159778337696383,0.364004921783785,0.0933363649781788
2.56119371440799,10.1449127162422,36.5565836365498,19.4859027707753,44.6339891258744,0,11.4084972814686,122.22988553091,112.084972814668,0.0829986273175122,0.299080568371351,0.15942011796982,0.365164288029927,0.0933363983113895
2.70178335048867,11.6423522736994,42.6336916135915,22.4756363118773,51.8874623405201,0,13.22186558513,141.861008124818,130.218655851119,0.0820687264780732,0.300531429863234,0.15843420689709,0.365762678740209,0.0932029580213936
2.88641752298123,14.329210364895,52.0556363735726,27.1145870691107,63.1361787542382,0,16.0340446885596,172.669657250376,158.340446885481,0.0829862674952624,0.301475297991067,0.15703156826097,0.365647211905268,0.0928596543474324
3.07698034698721,17.9860125150516,63.7472180362651,33.0373774211971,77.2276763657477,0,19.5569190914369,211.555203429698,193.569190914647,0.0850180578093345,0.301326637221896,0.156164333874093,0.365047397150934,0.092443573943743
3.28270496521148,22.8518807901883,79.1334726305617,41.1073575092872,95.9926641122679,0,24.248166028067,263.333541070372,240.481660280184,0.0867792256820085,0.300506621028631,0.156103766129442,0.364528816656194,0.0920815705037248
3.49390807565771,28.7654652961729,98.7631933600852,51.6064421196652,120.095708385324,0,30.273927096331,329.504736257578,300.739270961405,0.0872990950688084,0.299732242036365,0.15661821042634,0.364473390426302,0.091877062042184
3.70554785865172,35.7734193675839,123.475298123155,64.8052141991703,150.424409859691,0,37.8561024649227,412.334444014523,376.561024646939,0.0867582611321306,0.299454241370159,0.157166628061001,0.364811652393494,0.091809217043215
3.89846868298003,43.4947275154237,151.541681065216,79.6131033523547,184.723827536011,0,46.4309568840027,505.804296353008,462.309568837585,0.0859912180047362,0.299605365470152,0.157399025525065,0.365208102951916,0.0917962880481305
4.08680926687699,52.7916229548979,185.205265487361,97.1735625896562,225.703062464426,0,56.6757656161066,617.549279112448,564.75765615755,0.0854856846902499,0.299903621867296,0.157353535784732,0.365481865331963,0.0917752923257589
4.28634736180735,65.1657645611479,229.064610445979,119.935389546714,279.000000000017,0,70.0000000000042,763.165764553862,697.999999992714,0.0853887419848335,0.300150532276415,0.157155096726367,0.365582436946863,0.0917231920655212
4.28634736180735,65.1657645611479,229.064610445979,119.935389546714,279.000000000017,0,70.0000000000042,763.165764553862,697.999999992714,0.0853887419848335,0.300150532276415,0.157155096726367,0.365582436946863,0.0917231920655212
4.28634736180735,32.5828822805739,114.53230522299,59.9676947733568,139.500000000008,0,35.0000000000021,381.582882276931,348.999999996357,0.0853887419848335,0.300150532276415,0.157155096726367,0.365582436946863,0.0917231920655212
4.38792335213006,36.3257072348333,127.57984569682,66.7410928083178,155.356750807033,0,38.9641877017583,424.967584248763,388.641877013929,0.0854787719845696,0.300210770010493,0.157049843992924,0.365573179144158,0.0916874348678554
4.60310486391234,45.8161726086508,160.3224195022,83.8025815164734,195.20000081934,0,48.925000204835,534.066174651499,488.250002042848,0.0857874450456403,0.300192049434355,0.156914228037674,0.36549777927186,0.0916084982104712
4.82241650123634,57.9941726519134,202.275672233236,105.774208654619,246.339904712148,0,61.7099761780369,674.093934429953,616.09976177804,0.0860327762791043,0.300070452947022,0.156913158911698,0.365438542212169,0.0915450696500064
4.94151036046267,65.8417511040139,229.456859170357,120.043140937332,279.5,0,70,764.841751211703,699.000000107689,0.0860854562394167,0.300005666279122,0.156951605671569,0.365435071447396,0.0915222003624963
4.94151036046267,65.8417511040139,229.456859170357,120.043140937332,279.5,0,70,764.841751211703,699.000000107689,0.0860854562394167,0.300005666279122,0.156951605671569,0.365435071447396,0.0915222003624963
4.94151036046267,32.9208755520069,114.728429585179,60.0215704686658,139.75,0,35,382.420875605851,349.500000053844,0.0860854562394167,0.300005666279122,0.156951605671569,0.365435071447396,0.0915222003624963
5.04797599772954,36.8510574168097,128.409705947325,67.2068837883097,156.443271746032,0,39.1733179365081,428.084236834984,391.233179418175,0.0860836588828073,0.299963640092694,0.156994530527916,0.365449736955246,0.0915084335413368
5.26753470257968,46.4677202181981,162.084397274144,84.8768162377118,197.518970767624,0,49.4422426919059,540.390147189583,493.922426971385,0.0859892069828874,0.299939586458227,0.157065810098745,0.365511791424888,0.0914936050352529
5.48352362869426,58.3607786402653,203.854027941631,106.752438766951,248.435173318711,0,62.1712933296777,679.573711997236,621.212933356971,0.085878511204834,0.299973386761111,0.15708735768076,0.365575019946801,0.0914857244064947
5.59544615530561,65.6849013448149,229.554257326694,120.195742839981,279.75,0,70,765.18490151149,699.500000166675,0.0858418680440058,0.299998414596589,0.15708065149032,0.365597909011799,0.0914811568572866
5.59544615530561,65.6849013448149,229.554257326694,120.195742839981,279.75,0,70,765.18490151149,699.500000166675,0.0858418680440058,0.299998414596589,0.15708065149032,0.365597909011799,0.0914811568572866
5.59544615530561,32.8424506724075,114.777128663347,60.0978714199907,139.875,0,35,382.592450755745,349.750000083338,0.0858418680440058,0.299998414596589,0.15708065149032,0.365597909011799,0.0914811568572866
5.70157917610273,36.7446102234999,128.447290092984,67.2451456876583,156.528948557845,0,39.1634871394612,428.129481701448,391.384871477948,0.0858259283557664,0.300019726701642,0.157067309217801,0.365611235030524,0.0914758006942662
5.9209414089903,46.3863352563383,162.134213216724,84.8577688863667,197.568585619611,0,49.4233964049028,540.370299383943,493.983964127605,0.0858417557538261,0.300042791769954,0.15703633042584,0.365617033069456,0.091462088980924
6.14183635467875,58.6732558684441,204.973100339964,107.268455161874,249.768244339581,0,62.4733110848953,683.156366794758,624.483110926314,0.0858855435157957,0.300038337198933,0.157018891099789,0.365609187705367,0.0914480404801151
6.24920274607993,65.7606731319255,229.676370939087,120.198629184698,279.875,0,70,765.510673255711,699.750000123785,0.0859043190766314,0.300030266021342,0.157017574521194,0.365605614366804,0.0914422260140287
6.24920274607993,65.7606731319255,229.676370939087,120.198629184698,279.875,0,70,765.510673255711,699.750000123785,0.0859043190766314,0.300030266021342,0.157017574521194,0.365605614366804,0.0914422260140287
6.24920274607993,32.8803365659628,114.838185469544,60.0993145923488,139.9375,0,35,382.755336627855,349.875000061893,0.0859043190766314,0.300030266021342,0.157017574521194,0.365605614366804,0.0914422260140287
6.35592788439576,36.8226003042495,128.584177605553,67.2962387063687,156.691833000495,0,39.1885832501238,428.58343286679,391.760832562541,0.0859169941729746,0.300021344141687,0.157020158843343,0.365604036423866,0.0914374664181296
