t,A,E,RA,RI,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
19.8849829729421,16.7165987145274,24.5096779950899,15.268148714979,145.032149673224,160.300298388203,147.247981106635,0,36.5619952766587,385.336551481114,368.619952766586,0.0433818142874689,0.0636058995724187,0.416000760301764,0.382128247477845,0.0948832783605026
19.8985811721678,16.7679556028401,24.5842645490519,15.3163344362591,145.47284613226,160.789180568519,147.698756094057,0,36.6746890235142,386.514845837982,369.746890235142,0.0433824361040685,0.0636049683829146,0.415997424936992,0.382129581009596,0.0948855895664286
19.9121793713935,16.8191218843456,24.6590852626807,15.3614372246733,145.918279330176,161.27971655485,148.151041454024,0,36.7877603635061,387.696725519406,370.877603635061,0.0433821613061411,0.0636040586353788,0.415994528555224,0.382131268340074,0.0948879831631816
19.9257775706192,16.8704764946563,24.7341314852585,15.4070737010122,146.364657574443,161.771731275455,148.604690208571,0,36.9011725521428,388.882202016084,372.011725521428,0.0433819712169767,0.0636031460350441,0.415991604750182,0.382132916955724,0.0948903610420735
19.942590910821,16.9347006139961,24.8272229811681,15.4686930030401,146.913214261091,162.381907264131,149.167304196239,0,37.0418260490598,390.352961104594,373.418260490598,0.0433830463744285,0.0636019844986284,0.415987384352443,0.382134424634914,0.0948931601395859
19.9594042510228,16.9989132802673,24.9206700926169,15.5282529257768,147.466248233207,162.994501158983,149.73213700128,0,37.18303425032,391.829255783468,374.8303425032,0.0433834713191024,0.0636008407355589,0.415983489627577,0.382136185063284,0.0948960132544776
19.9762175912246,17.0628611591875,25.0144809957275,15.5833244308198,148.02631720768,163.6096416385,150.299298107382,0,37.3248245268454,393.311106427642,376.248245268454,0.0433826070007677,0.0635997320872237,0.415980222690709,0.382138453888366,0.0948989843329333
19.9930309314264,17.1271760023679,25.1086415521893,15.6399346819932,148.587103267766,164.227037949759,150.868543601559,0,37.4671359003897,394.798535006265,377.671359003897,0.043382065746764,0.0635986188545276,0.415976817004027,0.38214058620852,0.0949019121861614
20.0122131468592,17.2021499400696,25.2164692459733,15.7173696898722,149.216272184894,164.933641874766,151.520088896592,0,37.6300222241479,396.502372181549,379.300222241479,0.0433847339813472,0.0635972720849883,0.415971387427784,0.382141695806083,0.0949049106997979
20.031395362292,17.2766825021707,25.3247802936479,15.7880002744653,149.855641673451,165.643641947916,152.174737793251,0,37.7936844483128,398.213526985299,380.936844483128,0.0433854737004164,0.0635959819983283,0.415966888924975,0.382143567410429,0.0949080879658517
20.0505775777248,17.3498368492111,25.4336006655751,15.8428619158337,150.514633703446,166.35749561928,152.832877027884,0,37.9582192569709,399.932029418921,382.582192569709,0.0433819638662586,0.0635948081040889,0.415964422406947,0.38214712947583,0.0949116761468747
20.0697597931575,17.4238920737225,25.5428758295508,15.903714243229,151.170421392671,167.0741356359,153.49360917236,0,38.1234022930901,401.657915004623,384.234022930901,0.0433799295938732,0.0635936075833505,0.415961268020765,0.38215009200203,0.0949151027999816
20.0834827313043,17.4785449118438,25.621303715364,15.9616251465969,151.626379538631,167.588004685228,153.967446720473,0,38.2418616801183,402.897161713027,385.418616801183,0.043382149523042,0.06359266371207,0.415957272999099,0.382150735601707,0.094917178164082
20.0972056694511,17.5328267815794,25.6999878948641,16.0146376174929,152.08906797447,168.103705591963,154.442954789462,0,38.3607386973654,404.140213755233,386.607386973654,0.0433830294161178,0.0635917610278427,0.415953918641154,0.382151910482731,0.0949193804321549
20.1109286075979,17.5864271618488,25.7789371132561,16.0597788840641,152.561611627699,168.621390511763,154.920262100015,0,38.4800655250038,405.387082411887,387.800655250038,0.0433818143814964,0.0635909189801561,0.415951562907567,0.382153918616013,0.0949217851147678
20.1246515457447,17.6402950564295,25.8581282427258,16.1061109304926,153.034503849813,169.140614780306,155.398994418425,0,38.5997486046063,406.637781102493,388.997486046063,0.0433808560744218,0.0635900780606716,0.415949089437103,0.382155819356237,0.0949241570715666
20.1383744838915,17.6950791186111,25.937545871549,16.159825393657,153.501250565386,169.661075959043,155.878897464474,0,38.7197243661184,407.892322779795,390.197243661184,0.0433817410389554,0.0635891984795989,0.415945744707326,0.382156978101857,0.0949263376722627
20.1520974220383,17.7497791947985,26.0172163586394,16.2113592405752,153.971893648567,170.183252889142,156.360375398226,0,38.8400938495564,409.150717690362,391.400938495564,0.0433820067455711,0.0635883434483641,0.415942696739772,0.382158379877403,0.0949285731888899
20.165820360185,17.8042522122867,26.0971442749023,16.2593390766935,154.44787932553,170.707218402224,156.843490141701,0,38.9608725354253,410.412977566539,392.608725354253,0.0433813090362139,0.0635875220848036,0.415940108459527,0.382160162360539,0.0949308980589158
20.1795432983318,17.8589370853059,26.1773194546134,16.3079522528282,154.924817332213,171.232769585041,157.328071231723,0,39.0820178079309,411.679115164614,393.820178079309,0.0433807216044098,0.0635867074387441,0.415937469931093,0.382161896089419,0.0949332049363337
