growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
0.46,2.02040862772034,9,1,0,2.52574274933433,1.01192366236364,0,0.138410343079664,0.411589656920336,0.839354563730454,0.459985421666235
0.34,2.14828259150011,9,1,0,2.52574274933433,0.677194842514901,0,0.102306408101733,0.447693591898267,0.852309702000325,0.339999563780779
0.25,2.25058176252393,9,1,0,2.52574274933433,0.464943571321905,0,0.0752258415526096,0.474774158447391,0.860733785056402,0.250001478768523
0.65,1.56006235811318,10,0,0,1.32045350441291,4.5,0,0.374104869723486,0.175895130276514,0.624094198082365,0.649984324005676
0.59,1.50891277260127,10,1,0,1.32045350441291,3.10738227034292,0,0.339579019968609,0.210420980031391,0.685772778027476,0.589997772292964
0.46,1.50891277260127,10,1,0,1.32045350441291,1.59549334995344,0,0.26476042285182,0.28523957714818,0.768194860400977,0.460005037084909
0.43,1.63678673638104,10,1,0,1.32045350441291,1.38244271092755,0,0.247488740102942,0.302511259897058,0.781429623404762,0.42999654496272
0.34,1.73908590740485,10,1,0,1.32045350441291,0.896616540754422,0,0.195688364779429,0.354311635220571,0.813384621256262,0.339996561902407
0.31,1.84138507842867,10,1,0,1.32045350441291,0.771299268626629,0,0.178422753832772,0.371577246167228,0.822055842541438,0.309998619165114
0.27,1.84138507842867,10,1,0,1.32045350441291,0.624693085456075,0,0.155400365075233,0.394599634924767,0.832437756784529,0.269998627171892
0.24,1.89253466394058,10,1,0,1.32045350441291,0.527553006899718,0,0.138133901269275,0.411866098730726,0.839462387888282,0.239999202643738
0.36,1.15086567401792,11,0,0,0.646699210274274,4.5,0,0.423078930988073,0.126921069011927,0.479046304016029,0.360006329675883
0.32,1.09971608850601,11,1,0,0.646699210274274,2.25563788925069,0,0.376061782082194,0.173938217917806,0.619865025688347,0.319998496693277
0.28,1.02299171023815,11,1,0,0.646699210274274,1.37444746031577,0,0.329054613786855,0.220945386213145,0.70074052627551,0.279999156411928
0.23,0.971842124726242,11,1,0,0.646699210274274,0.818403425938307,0,0.270294408019595,0.279705591980405,0.763608587401312,0.229998921326085
0.21,0.997416917482195,11,1,0,0.646699210274274,0.673156800084124,0,0.246789884554344,0.303210115445656,0.781933396572811,0.209998451901281
0.801,1.99615067209644,12,0,0,1.74628862461095,4.5,0,0.348600606033574,0.201399393966426,0.671697125310007,0.80099641164331
0.814,2.12171498856703,13,0,0,1.78584615635514,4.5,0,0.346406823494803,0.203593176505197,0.675234695312531,0.813985913517616
1.093,2.82036772380078,14,0,0,2.77550796261702,4.5,0,0.299286319414152,0.250713680585848,0.73627286773703,1.09298889820568
1.37,3.79590587484146,15,0,0,4.12341735479203,4.5,0,0.252505463949276,0.297494536050724,0.777743817154591,1.3699808055635
1.548,4.90022794021095,16,0,0,5.28910059138583,4.5,0,0.222437187121778,0.327562812878222,0.798145584906241,1.5480166552
1.838,7.75601124045215,17,0,0,8.0528502144978,4.5,0,0.173463393794436,0.376536606205564,0.824399543337088,1.83799306305926
2.419,12.8526346500145,18,0,0,24.4027454049705,4.5,0,0.0753374798653395,0.474662520134661,0.860701030320991,2.41900176395523
