growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
1.74,NaN,NaN,NaN,0.007,19,0,1,7.00044398420146,4.5,0.00111102679797717,0.188902305197389,0.359986668004634,0.816326531294907,1.74000000792217
1.79,NaN,NaN,NaN,0.022,19,0,1,7.00044398420146,4.5,0,0.189337038030119,0.360662961969882,0.816670944976264,1.74400438008482
1.71,NaN,NaN,NaN,0.007,19,0,1,7.00044398420146,4.5,0.00943444404051475,0.185645441580396,0.35492011437909,0.813704556824927,1.71000067724461
1.52,NaN,NaN,NaN,0.039,19,0,1,7.00044398420146,4.5,0.0621498292758571,0.165018478492282,0.322831692231861,0.795187394574285,1.52000344084654
1.12,NaN,NaN,NaN,0.118,19,0,1,7.00044398420146,4.5,0.173129715275209,0.121593243111532,0.25527704161326,0.740987283532647,1.12000879902588
1.09,NaN,NaN,NaN,0.137,19,0,1,7.00044398420146,4.5,0.181457143393719,0.118334810081922,0.250208046524359,0.735739913570034,1.08999501231528
0.99,NaN,NaN,NaN,0.169,19,0,1,7.00044398420146,4.5,0.209194761537234,0.10748137852595,0.233323859936816,0.716617066004714,0.99002285488904
0.83,NaN,NaN,NaN,0.176,19,0,1,7.00044398420146,4.5,0.253602436969029,0.0901051329029469,0.206292430128024,0.67948411893269,0.829968336284352
0.63,NaN,NaN,NaN,0.189,19,0,1,7.00044398420146,4.5,0.309075908867948,0.0683989601770887,0.172525130954964,0.616751486383394,0.630030380654389
0.82,NaN,NaN,NaN,0.202,19,0,1,7.00044398420146,4.5,0.256369612984582,0.0890223666995642,0.204608020315854,0.676845512224152,0.819994857133343
0.73,NaN,NaN,NaN,0.246,19,0,1,7.00044398420146,4.5,0.28133814106571,0.0792524502929083,0.189409408641381,0.650914912441396,0.730003077481862
0.66,NaN,NaN,NaN,0.26,19,0,1,7.00044398420146,4.5,0.300770262152451,0.0716488703780409,0.177580867469508,0.627662591459335,0.659965662648403
0.9012,NaN,NaN,NaN,0,20,0,0,2.06505981113402,4.5,0,0.33167405364794,0.21832594635206,0.697150058869418,0.901219419189829
0.92,NaN,NaN,NaN,0.007,20,0,1,2.06505981113402,4.5,0,0.33167405364794,0.21832594635206,0.697150058869418,0.901219419189829
0.83,NaN,NaN,NaN,0.028,20,0,1,2.06505981113402,4.5,0.0382401579819385,0.305462455297094,0.206297386720967,0.679491819790077,0.829997684532042
0.83,NaN,NaN,NaN,0.045,20,0,1,2.06505981113402,4.5,0.0382401579819385,0.305462455297094,0.206297386720967,0.679491819790077,0.829997684532042
0.42,NaN,NaN,NaN,0.165,20,0,1,2.06505981113402,4.5,0.258375387556077,0.154571441112639,0.137053171331284,0.517559503674854,0.419999040777341
0.48,NaN,NaN,NaN,0.186,20,0,1,2.06505981113402,4.5,0.226166548169612,0.176648890733628,0.14718456109676,0.550768100218525,0.479987532809762
0.33,NaN,NaN,NaN,0.196,20,0,1,2.06505981113402,4.5,0.306698882397126,0.121448250610105,0.121852866992769,0.457378380732531,0.329997238772975
0.26,NaN,NaN,NaN,0.265,20,0,1,2.06505981113402,4.5,0.344279942635828,0.0956884287746132,0.110031628589559,0.399081874479549,0.260003064017123
0.21,NaN,NaN,NaN,0.318,20,0,1,2.06505981113402,4.5,0.371128253626681,0.077285336809794,0.101586409563525,0.349125534763061,0.209998477678766
0.6106,NaN,NaN,NaN,0,21,0,0,1.21878054551403,4.5,0,0.380755999057887,0.169244000942113,0.609321455224785,0.610602637157251
0.63,NaN,NaN,NaN,0.008,21,0,1,1.21878054551403,4.5,0,0.380755999057887,0.169244000942113,0.609321455224785,0.610602637157251
0.57,NaN,NaN,NaN,0.009,21,0,1,1.21878054551403,4.5,0.0321751726759521,0.355437965625854,0.162386861698194,0.592824201979542,0.570001154791941
0.59,NaN,NaN,NaN,0.037,21,0,1,1.21878054551403,4.5,0.016326876648206,0.367908689332991,0.165764434018803,0.601120708483825,0.58999993826923
0.53,NaN,NaN,NaN,0.073,21,0,1,1.21878054551403,4.5,0.0638753751845265,0.330493677214492,0.155630947600981,0.575148766879429,0.529999031847917
0.39,NaN,NaN,NaN,0.098,21,0,1,1.21878054551403,4.5,0.174814975080895,0.243197409144673,0.131987615774432,0.499043909445264,0.390005619717031
0.42,NaN,NaN,NaN,0.16,21,0,1,1.21878054551403,4.5,0.151040628692951,0.26190499162564,0.13705437968141,0.51756375714735,0.420006195482032
0.26,NaN,NaN,NaN,0.15,21,0,1,1.21878054551403,4.5,0.277835642443832,0.162132398965734,0.110031958590434,0.399083676715102,0.260005017969678
0.28,NaN,NaN,NaN,0.228,21,0,1,1.21878054551403,4.5,0.261994876371251,0.174597197493897,0.113407926134852,0.416971967890696,0.279994299482675
0.25,NaN,NaN,NaN,0.24,21,0,1,1.21878054551403,4.5,0.285757606854828,0.155898755347874,0.108343637797298,0.389719587192511,0.250008381694526
