si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,estim_vol_um3,estim_C_plus_D_hrs,nutrient_type,cm_type,useless_type,model_kn,model_kt,model_fU,model_fE,model_fR,model_active_R_frac,model_growth_rate
302,0.75,6.5616,3.6062,0.89,1.22,9,1,0,2.52574274933433,2.20758252038486,0,0.225677503466226,0.324322496533774,0.796128851045908,0.750004365878544
303,0.67,6.687,3.4736,0.82,1.4,9,1,0,2.52574274933433,1.80388436457685,0,0.201602480621696,0.348397519378304,0.810216788804962,0.669994741681662
304,0.54,6.7065,3.3853,0.8,1.59,9,1,0,2.52574274933433,1.27695997228201,0,0.162488481646333,0.387511518353667,0.82937281379168,0.540005400484961
305,0.46,6.7415,3.4141,0.79,2.2,9,1,0,2.52574274933433,1.01192366236364,0,0.138410343079664,0.411589656920336,0.839354563730454,0.459985421666235
306,0.34,6.5799,3.3875,0.84,2.93,9,1,0,2.52574274933433,0.677194842514901,0,0.102306408101733,0.447693591898267,0.852309702000325,0.339999563780779
307,0.25,6.5332,3.5093,0.88,4.9,9,1,0,2.52574274933433,0.464943571321905,0,0.0752258415526096,0.474774158447391,0.860733785056402,0.250001478768523
328,0.65,7.7214,4.2886,0.61,1.39,10,0,0,1.32045350441291,4.5,0,0.374104869723486,0.175895130276514,0.624094198082365,0.649984324005676
329,0.59,7.4914,3.5909,0.59,1.61,10,1,0,1.32045350441291,3.10738227034292,0,0.339579019968609,0.210420980031391,0.685772778027476,0.589997772292964
330,0.46,7.3939,3.3415,0.59,2.08,10,1,0,1.32045350441291,1.59549334995344,0,0.26476042285182,0.28523957714818,0.768194860400977,0.460005037084909
331,0.43,7.1891,3.3381,0.64,2.55,10,1,0,1.32045350441291,1.38244271092755,0,0.247488740102942,0.302511259897058,0.781429623404762,0.42999654496272
332,0.34,7.1123,3.4687,0.68,3.02,10,1,0,1.32045350441291,0.896616540754422,0,0.195688364779429,0.354311635220571,0.813384621256262,0.339996561902407
333,0.31,7.0138,3.5393,0.72,3.22,10,1,0,1.32045350441291,0.771299268626629,0,0.178422753832772,0.371577246167228,0.822055842541438,0.309998619165114
334,0.27,6.9887,3.4954,0.72,3.29,10,1,0,1.32045350441291,0.624693085456075,0,0.155400365075233,0.394599634924767,0.832437756784529,0.269998627171892
335,0.24,6.8689,3.3843,0.74,3.85,10,1,0,1.32045350441291,0.527553006899718,0,0.138133901269275,0.411866098730726,0.839462387888282,0.239999202643738
343,0.36,8.2154,3.5897,0.45,2.05,11,0,0,0.646699210274274,4.5,0,0.423078930988073,0.126921069011927,0.479046304016029,0.360006329675883
344,0.32,8.369,3.6462,0.43,2.21,11,1,0,0.646699210274274,2.25563788925069,0,0.376061782082194,0.173938217917806,0.619865025688347,0.319998496693277
345,0.28,8.4656,3.481,0.4,2.68,11,1,0,0.646699210274274,1.37444746031577,0,0.329054613786855,0.220945386213145,0.70074052627551,0.279999156411928
346,0.23,8.5469,3.2939,0.38,3.22,11,1,0,0.646699210274274,0.818403425938307,0,0.270294408019595,0.279705591980405,0.763608587401312,0.229998921326085
347,0.21,8.4034,3.1212,0.39,3.43,11,1,0,0.646699210274274,0.673156800084124,0,0.246789884554344,0.303210115445656,0.781933396572811,0.209998451901281
