si_jun_excel_raw_number,growth_rate_per_hr,estim_SA_over_V,estim_aspect_ratio,estim_vol_um3,estim_C_plus_D_hrs,nutrient_type,cm_type,useless_type,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
301,0.87,6.5012,3.7134,0.93,1.16,9,1,0,3.67566980113676,0.0861654899440342,0,0.236678181398166,0.263321818601834,0.5,0.672774970180788,0.869993852132735
302,0.75,6.5616,3.6062,0.89,1.22,9,1,0,3.67566980113676,0.147301192013904,0,0.204036268945355,0.295963731054645,0.5,0.502299854482147,0.749997150185948
303,0.67,6.687,3.4736,0.82,1.4,9,1,0,3.67566980113676,0.186921218730296,0,0.182275780895499,0.317724219104501,0.5,0.411687219636168,0.670003294700738
304,0.54,6.7065,3.3853,0.8,1.59,9,1,0,3.67566980113676,0.2498811474046,0,0.146901830598017,0.353098169401983,0.5,0.292318201966877,0.539970084937525
305,0.46,6.7415,3.4141,0.79,2.2,9,1,0,3.67566980113676,0.287896731234583,0,0.125148232832381,0.374851767167619,0.5,0.231971791383214,0.460007519613138
306,0.34,6.5799,3.3875,0.84,2.93,9,1,0,3.67566980113676,0.34414752769383,0,0.0925214225221686,0.407478577477831,0.5,0.1554217897196,0.339996745470554
307,0.25,6.5332,3.5093,0.88,4.9,9,1,0,3.67566980113676,0.385908569333094,0,0.067979920461093,0.432020079538907,0.5,0.106734645887358,0.249969912265812
328,0.65,7.7214,4.2886,0.61,1.39,10,0,0,1.88256186948947,0,0,0.345273052637952,0.154726947362048,0.5,1,0.649997883458441
329,0.59,7.4914,3.5909,0.59,1.61,10,1,0,1.88256186948947,0.054558945076811,0,0.313408648101083,0.186591351898917,0.5,0.707601962676343,0.590011170483344
330,0.46,7.3939,3.3415,0.59,2.08,10,1,0,1.88256186948947,0.161283502552794,0,0.244365028252772,0.255634971747228,0.5,0.369086704176489,0.460015639582439
331,0.43,7.1891,3.3381,0.64,2.55,10,1,0,1.88256186948947,0.184656768758199,0,0.22842298901025,0.27157701098975,0.5,0.320057437537786,0.430004860549341
332,0.34,7.1123,3.4687,0.68,3.02,10,1,0,1.88256186948947,0.253072299982919,0,0.180618640455043,0.319381359544958,0.5,0.207617187354057,0.340017881179158
333,0.31,7.0138,3.5393,0.72,3.22,10,1,0,1.88256186948947,0.275459516362686,0,0.164679086105202,0.335320913894798,0.5,0.178519725587093,0.310012875378812
334,0.27,6.9887,3.4954,0.72,3.29,10,1,0,1.88256186948947,0.305052582557846,0,0.143429916095729,0.356570083904271,0.5,0.144480716896756,0.270012240511866
335,0.24,6.8689,3.3843,0.74,3.85,10,1,0,1.88256186948947,0.327117820887229,0,0.127464151816691,0.372535848183309,0.5,0.121915857272698,0.239997331335565
343,0.36,8.2154,3.5897,0.45,2.05,11,0,0,0.903340843573394,0,0,0.398507861836373,0.101492138163627,0.5,1,0.359988428081899
344,0.32,8.369,3.6462,0.43,2.21,11,1,0,0.903340843573394,0.0679525717882123,0,0.354238730466593,0.145761269533407,0.5,0.533809138698273,0.31999831360606
345,0.28,8.4656,3.481,0.4,2.68,11,1,0,0.903340843573394,0.127698308629472,0,0.309968347146767,0.190031652853233,0.5,0.328015587339564,0.280007068192611
346,0.23,8.5469,3.2939,0.38,3.22,11,1,0,0.903340843573394,0.19772852594871,0,0.254607545309358,0.245392454690642,0.5,0.19423551063141,0.229997394759906
347,0.21,8.4034,3.1212,0.39,3.43,11,1,0,0.903340843573394,0.224936296998927,0,0.23246242766246,0.26753757233754,0.5,0.159234738382334,0.210007285299502
